
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
70:3A:CB:B1:AF:9B, 2018-09-04 21:49:14, 2018-09-04 21:49:21,  6,  54, WPA2, CCMP,PSK, -69,       11,        0,   0.  0.  0.  0,   4, \xF0..\xBC, 
5C:B0:66:DA:E0:AD, 2018-09-04 21:49:15, 2018-09-04 21:49:18,  6,  54, WPA2, CCMP,PSK, -73,        3,        0,   0.  0.  0.  0,   8, Cleo 2.4, 
72:3A:CB:B1:AF:98, 2018-09-04 21:49:13, 2018-09-04 21:49:21,  6,  54, WPA2, CCMP,PSK, -70,       17,        0,   0.  0.  0.  0,  12, \xF0...\xF0..\xAB\xF0..., 
72:3A:CB:B1:A4:58, 2018-09-04 21:49:12, 2018-09-04 21:49:20,  1,  54, WPA2, CCMP,PSK, -66,       15,        0,   0.  0.  0.  0,  12, \xF0...\xF0..\xAB\xF0..., 
70:3A:CB:B1:A4:59, 2018-09-04 21:49:12, 2018-09-04 21:49:20,  1,  54, WPA2, CCMP,PSK, -65,       17,        0,   0.  0.  0.  0,   4, \xF0..\xBC, 
A0:04:60:E5:D7:99, 2018-09-04 21:49:12, 2018-09-04 21:49:20,  3,  54, WPA2, CCMP,PSK, -69,       29,        1,   0.  0.  0.  0,  21, Bodduluri Family Wifi, 
58:6D:8F:23:5A:C5, 2018-09-04 21:49:12, 2018-09-04 21:49:21, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -63,       31,        0,   0.  0.  0.  0,   7, DEE-NET, 
CC:65:AD:7A:C4:10, 2018-09-04 21:49:12, 2018-09-04 21:49:21,  7,  54, WPA2 WPA, CCMP TKIP,PSK, -59,       27,      280,   0.  0.  0.  0,   6, ATT152, 
94:E8:C5:FE:2B:82, 2018-09-04 21:49:18, 2018-09-04 21:49:18, 11,  54, WPA2, CCMP, MGT, -89,        1,        0,   0.  0.  0.  0,   7, XFINITY, 
94:E8:C5:FE:2B:83, 2018-09-04 21:49:18, 2018-09-04 21:49:18, 11,  54, OPN, ,   , -85,        1,        0,   0.  0.  0.  0,  11, xfinitywifi, 
94:E8:C5:FE:2B:84, 2018-09-04 21:49:18, 2018-09-04 21:49:18, 11,  54, OPN, ,   , -83,        1,        0,   0.  0.  0.  0,   9, CableWiFi, 
3C:90:66:68:3A:8A, 2018-09-04 21:49:18, 2018-09-04 21:49:18, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -93,        1,        0,   0.  0.  0.  0,  10, Sonic-3a87, 
08:9E:08:F9:7B:58, 2018-09-04 21:49:18, 2018-09-04 21:49:18,  6,  54, WPA2, CCMP,PSK, -91,        1,        0,   0.  0.  0.  0,  13, golden_shower, 
6E:B0:66:DA:E0:AD, 2018-09-04 21:49:18, 2018-09-04 21:49:18,  6,  54, OPN, ,   , -81,        1,        0,   0.  0.  0.  0,  11, xfinitywifi, 
7C:2E:BD:90:F5:12, 2018-09-04 21:49:19, 2018-09-04 21:49:19,  6,  54, WPA2, CCMP,PSK, -85,        1,        0,   0.  0.  0.  0,  11, CITWest 2.0, 
0A:9E:08:F9:7B:58, 2018-09-04 21:49:19, 2018-09-04 21:49:19,  6,  54, WPA2, CCMP,PSK, -89,        1,        0,   0.  0.  0.  0,  25, \xC5\xA6\xC4\xA6\xC9. F\xC6.\xC9.S\xC5\xA6\xC9. \xC5.\xC6.F\xC9., 
BE:39:56:8F:65:F2, 2018-09-04 21:49:21, 2018-09-04 21:49:21,  8,  54, WPA2, CCMP,PSK, -89,        1,        0,   0.  0.  0.  0,  13, "ORBI32-Guest ", 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
74:70:FD:85:CA:19, 2018-09-04 21:49:12, 2018-09-04 21:49:19, -76,      196, CC:65:AD:7A:C4:10,
B8:E9:37:B2:2D:29, 2018-09-04 21:49:15, 2018-09-04 21:49:18, -71,        2, (not associated) ,Sonos_cJXtFwCngOVrA9UypijTvUO7oH
78:FD:94:D8:99:7C, 2018-09-04 21:49:14, 2018-09-04 21:49:14,  -1,        1, 2C:30:33:CC:CD:01,
EC:F4:51:BF:B0:A2, 2018-09-04 21:49:19, 2018-09-04 21:49:19, -69,        2, 58:6D:8F:23:5A:C5,

